Module	RelatedReqID	RuleType	Statement	ConditionTrigger	SystemAction	ExceptionErrorCode	TestHint	Status	EvidencePath
Closure	FR-33	Guard	confirm phải là true mới được chốt kết quả	PATCH confirm với confirm≠true	Từ chối	INVALID_STATE	confirm:false → 422	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	Chỉ confirm khi hackathon PENDING_CONFIRM	status ≠ PENDING_CONFIRM	Từ chối	HACKATHON_NOT_PENDING_CONFIRM	ONGOING/FINISHED → 422	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	Phải có Round Chung kết (isFinal)	Không tìm thấy round isFinal=true	Từ chối	MISSING_FINAL_ROUND	Hackathon thiếu CK	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	Phải khóa chấm Chung kết trước confirm	finalRound.scoringLocked ≠ true	Từ chối	ROUND_NOT_SCORING_LOCKED	CK chưa lock	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	Chưa chấm đủ điểm CK thì không confirm	hasIncompleteScoring(finalRound)=true	Từ chối	SCORING_INCOMPLETE_BEFORE_CONFIRM	Thiếu điểm CK	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	CK còn DEEP_TIE chưa resolve thì không confirm	tiebreak(finalRound) không rỗng	Từ chối	TIEBREAK_UNRESOLVED	Còn đồng điểm CK	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Guard	Cần ≥1 prize trước khi confirm	Danh sách prize theo hackathon rỗng	Từ chối	NO_PRIZES_RECORDED	Profile prizes-empty	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	Lifecycle	Confirm chuyển PENDING_CONFIRM → FINISHED (một chiều)	Tất cả gate pass	Set status FINISHED + save	N/A	Happy path Profile B	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-36	Audit	Ghi audit đổi status khi confirm	Sau save FINISHED	log HACKATHON_STATUS_CHANGE (from/to/note/validatedBy/via=confirm)	N/A	Kiểm tra audit log	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java
Closure	FR-33	SideEffect	Công bố kết quả qua announcement khi confirm	Sau FINISHED	publishResults RESULTS_PUBLISHED + STOMP	N/A	Feed announcement sau confirm	Implemented	hackathons/service/impl/HackathonClosureServiceImpl.java; announcements/service/AnnouncementService.java
Closure	FR-33	Lifecycle	Sau confirm phát HackathonFinishedEvent	Transaction commit	Listener tính chapter + individual rankings	N/A	AFTER_COMMIT calculateAsync	Implemented	hackathons/listener/HackathonFinishedEventListener.java
Closure	FR-33	Gap	Batch notification RESULT_PUBLISHED chưa làm	Sau finished event	TODO trong listener	N/A	Code comment TODO	Gap	hackathons/listener/HackathonFinishedEventListener.java
Ranking	FR-31	Policy	XH team CK không gate theo status hackathon	GET team-rankings mọi status	Trả ranking CK hoặc []	N/A	ONGOING vẫn 200 nếu đã chấm	Implemented	hackathons/query/FinalRankingQueryServiceImpl.java; HackathonClosureServiceImpl.java
Ranking	FR-31	Invariant	Không có round FINAL → ranking rỗng	findByIsFinalTrue empty	return []	N/A	Hackathon thiếu CK	Implemented	hackathons/query/FinalRankingQueryServiceImpl.java
